MatchName,Address,TeamA,ScoreA,TeamB,ScoreB,Winner,WonBy,MatchLink
Individual Match,"Mahesh Cricket Ground, Ahmedabad, 03-Feb-21, 8 Ov.",New Ranip C.C(Mevad),87/3,Khatarnakh C C,84/5,New Ranip C.C(Mevad),3 runs,https://cricheroes.in/scorecard/1484742/individual/New-Ranip-C.C(Mevad)-vs-Khatarnakh-C-C
Crazy  cricket Tournament,"My Cricket Village, Ahmedabad, 03-Feb-21, 10 Ov., ",Eagel Challengers,88/7,The Lions VII,89/4,The Lions VII,3 wickets,https://cricheroes.in/scorecard/1482953/Crazy--cricket-Tournament/Eagel-Challengers-vs-The-Lions-VII
Crazy  cricket Tournament,"My Cricket Village, Ahmedabad, 03-Feb-21, 10 Ov., ",The Challenger,96/5,My Nationa,100/4,My Nationa,3 wickets,https://cricheroes.in/scorecard/1482869/Crazy--cricket-Tournament/The-Challenger-vs-My-Nationa
Individual Match,"opp krishna shalby hospital , Ahmedabad, 03-Feb-21, 6 Ov.",Ahmc Star,45/8,Apc Rising Stars,46/1,Apc Rising Stars,9 wickets,https://cricheroes.in/scorecard/1484089/individual/Ahmc-Star-vs-Apc-Rising-Stars
Crazy  cricket Tournament,"My Cricket Village, Ahmedabad, 03-Feb-21, 10 Ov., ",Cricket Master Blaster,102/0,The Royals VII,74/6,Cricket Master Blaster,28 runs,https://cricheroes.in/scorecard/1482840/Crazy--cricket-Tournament/Cricket-Master-Blaster-vs-The-Royals-VII
Jay Dwarikadhish Cup,"Chharodi Fatak, Ahmedabad, 03-Feb-21, 12 Ov., ",Manoranjan Cricket Club,74/10,Dharnidhar CC,76/2,Dharnidhar CC,8 wickets,https://cricheroes.in/scorecard/1483928/Jay-Dwarikadhish-Cup/Manoranjan-Cricket-Club-vs-Dharnidhar-CC
Crazy  cricket Tournament,"My Cricket Village, Ahmedabad, 03-Feb-21, 10 Ov., ",Eagel Challengers,65/7,The Epic Rivals,67/4,The Epic Rivals,3 wickets,https://cricheroes.in/scorecard/1483894/Crazy--cricket-Tournament/Eagel-Challengers-vs-The-Epic-Rivals
Gharvakhri Premiere League,"Bhat Cricket Ground, Ahmedabad, 03-Feb-21, 12 Ov., ",Gharvakhri Red Lion,108/9,Gharvakhri Black Panther,75/11,Gharvakhri Red Lion,33 runs,https://cricheroes.in/scorecard/1483843/Gharvakhri-Premiere-League/Gharvakhri-Red-Lion-vs-Gharvakhri-Black-Panther
Individual Match,"beside krishna shalby hospital , Ahmedabad, 03-Feb-21, 12 Ov.",Ahmc Star,133/3,Apc Rising Stars,16/6,Abandoned,None,https://cricheroes.in/scorecard/1483670/individual/Ahmc-Star-vs-Apc-Rising-Stars
Crazy  cricket Tournament,"My Cricket Village, Ahmedabad, 03-Feb-21, 10 Ov., ",Eagel Challengers,83/5,Trophy Defenders,84/3,Trophy Defenders,4 wickets,https://cricheroes.in/scorecard/1482820/Crazy--cricket-Tournament/Eagel-Challengers-vs-Trophy-Defenders
ALL INDIA BHANTU SAMAJ CRICKET TOURNAMENT,"Sardar Patel - Navrangpura, Ahmedabad, 03-Feb-21, 20 Ov., ",AHMEDABAD_A,156/8,Ansh VG Panther Delhi,145/7,AHMEDABAD_A,11 runs,https://cricheroes.in/scorecard/1482129/ALL-INDIA-BHANTU-SAMAJ-CRICKET-TOURNAMENT/AHMEDABAD_A-vs-Ansh-VG-Panther-Delhi
SUPER SMASH T20 PINK BALL TOURNAMENT,"V9 CRICKET GROUND, Ahmedabad, 03-Feb-21, 20 Ov., ",Kamet Pitchers_Rudra Raj Farm,246/8,Super Giants (Pink Ball),212/10,Kamet Pitchers_Rudra Raj Farm,34 runs,https://cricheroes.in/scorecard/1476492/SUPER-SMASH-T20-PINK-BALL-TOURNAMENT/Kamet-Pitchers_Rudra-Raj-Farm-vs-Super-Giants-(Pink-Ball)
DRM CUP TOURNAMENT - 2021,"Sabarmati Railway Ground, Ahmedabad, 03-Feb-21, 20 Ov., ",SR DME ADI (DRM),133/9,DY CMM (DRM),104/8,SR DME ADI (DRM),29 runs,https://cricheroes.in/scorecard/1455186/DRM-CUP-TOURNAMENT---2021/SR-DME-ADI-(DRM)-vs-DY-CMM-(DRM)
AHMEDABAD DISTRICT RURAL CRICKET TOURNAMENT,"VIVEKNIKETAN CAMPUS, Ahmedabad, 03-Feb-21, 20 Ov., ",SPIS(ADRCA),123/6,CHAMPIONS CC(ADRCA),23/10,SPIS(ADRCA),100 runs,https://cricheroes.in/scorecard/1483602/AHMEDABAD-DISTRICT-RURAL-CRICKET-TOURNAMENT/SPIS(ADRCA)-vs-CHAMPIONS-CC(ADRCA)
PACIFIC PREMIER LEAGUE 2021,"Royal Cricket Ground (Gatrad) Ahmedabad, Ahmedabad, 03-Feb-21, 20 Ov., ",GRP Sports Pinak,92/9,Bajrangi XI,96/2,Bajrangi XI,8 wickets,https://cricheroes.in/scorecard/1483574/PACIFIC-PREMIER-LEAGUE-2021/GRP-Sports-Pinak-vs-Bajrangi-XI
